section,command,description,parameters,examples,format
,AT+CPWD,修改密码指令,,AT+CGDCONT–设置PDP格式; 设置GPRS的PDP（Packet Data Protocol，分组数据协议）格式。APN允许设置的长度最长是50。,参数
,AT+CGDCONT,设置PDP格式,,AT+XGAUTH–用户认证; PDP认证。; 该指令要放在AT+CGDCONT这条指令后面。目前在专网中各个地方逐渐增加了用户身份认证需求，使用内部协议栈，需要使用到这条指令，因此，请在代码流程上加上这条指令。; 联通卡默认用户名和密码是“card”和“card”。; <cid>对应+CGDCONT中的<cid>。; <name>和<pwd>允许设置的最大字符串长度都是50,参数
,AT+XGAUTH,用户认证,,AT+CGATT–设置GPRS附着和分离; 该指令用来查询、设置GPRS附着和分离。掉电不保存。; 模组默认情况下，会主动进行GPRS附着。; 进行PPP连接之前要确保GPRS是处于附着状态，AT流程增加查询指令AT+CGATT?：; 如果返回值是1，则可以直接进行PPP连接；; 如果返回值是0，则需进行手动附着，即AT+CGATT=1。,参数
,AT+CGATT,设置GPRS附着和分离,,ATE1/ATE0–打开&关闭回显; 打开（或关闭）模组AT指令回显功能。; 该模组默认回显功能为打开状态。; 该指令设置后掉电不保存。; ATD*99#–GPRS; 使用外部协议栈，进行GPRS拨号连接。; 进行拨号之前一定要确保CREG已经注册成功，并且设置了APN。; AT+CESQ–扩展信号强度; 查询扩展信号强度。,参数
,AT+CESQ,扩展信号强度,,AT+NWDNS–域名解析; 内置协议栈拨号后，查询DNS解析结果。; 先使用AT+XIIC命令拨号成功后，才能执行该命令。; 域名填入不校验正确性，需保证填入内容的正确性。,参数
,AT+NWDNS,域名解析,,AT+NWENPWRSAVE–休眠（Sleep）设置; 设置是否允许模组进入休眠（Sleep）模式。该命令设置掉电不保存。; 模组DTR信号默认为低电平：; 发送允许进入休眠模式指令之后，且模组DTR信号为低（或高）电平，模组内部各个部分的电路都允许进入休眠状态模组才能进入休眠。,参数
,AT+NWENPWRSAVE,休眠（Sleep）设置,,AT+NWPWROFF–模组关机指令; 模组关机指令。发送 AT+NWPWROFF 之前，需悬空或拉高模组 POWERKEY 管脚电平。返回 OK 后，若需重新开机，可拉低 POWERKEY 管脚电平。,参数
,AT+NWPWROFF,模组关机指令,,"AT+NWRFTEST–模组强发强收指令（仅可用于测试）; 用于在测试模式下验证模组强发强收功能, 只能测试每个频段的中心频点的发射功率和接收功率精度。由于平台限制，强收强发测试精度均有一些误差。; 强发测试只能验证最大发射功率23db和10db，其他值无法验证。",参数
,AT+NWRFTEST,模组强发强收指令（仅可用于测试）,,AT+NSTGETRSSI–获取强收模式下模组的接收功率（仅可用于测试）; 用于在测试模式下验证模组的接收功率，强收测试精度会有一些误差。,参数
,AT+NSTGETRSSI,获取强收模式下模组的接收功率（仅可用于测试）,,短消息服务指令; AT+CSMS–选择短信服务; 用于支持的短消息包括：发送（SMS-MO）、接收（SMS-MT）、小区广播（SMS-CB）。,参数
,AT+CSMS,选择短信服务,,AT+CPMS–首选短信存储器; 用于首选短信存储器。,参数
,AT+CPMS,首选短信存储器,,AT+CMGF–设置短消息模式; 设置短信的输入模式。,参数
,AT+CMGF,设置短消息模式,,AT+CSCS–设置TE字符集; 设置TE字符集格式。,参数
,AT+CSCS,设置TE字符集,,AT+CNMI–设置短信指示格式; 设置模组从网络接收到短信息后如何通知用户。,参数
,AT+CNMI,设置短信指示格式,,AT+CMGR–读短消息; 读取当前存储器中的短消息（需预先通过AT+CPMS指令设定当前存储器）。; 如果接收到的短信状态是未读的，执行该指令后，短信存储状态就变成已读。,参数
,AT+CMGR,读短消息,,AT+CMGL–短信列表; 读取某一类存储的短信，短信会被从+CPMS 指令选取的当前的存储器中读出来。,参数
,AT+CMGL,短信列表,,AT+CMGS–发送短消息; 将短消息从模组发送到网络，短消息发送成功后网络返回参考值<mr>给模组。,参数
,AT+CMGS,发送短消息,,AT+CMGW–写短消息; 往存储器中写入短消息，正确存储后返回位置信息<index>。,参数
,AT+CMGW,写短消息,,AT+CMSS–发送已保存的短消息; 发送存储器中<index>指定位置的短消息（SMS-SUBMIT），短消息发送成功后网络返回参考值<mr>给终端。,参数
,AT+CMSS,发送已保存的短消息,,AT+CMGD–删除短消息; 从当前存储器中删除短消息。,参数
,AT+CMGD,删除短消息,,AT+CSCA–短信中心号码; 设置短信中心号码。CDMA模式下，不支持这条指令。,参数
,AT+CSCA,短信中心号码,,AT+CSMP–设置文本模式参数; 文本模式下，选择需要的附加参数取值；设置从SMSC接收到该消息时算起的有效期或定义有效期终止的绝对时间。,参数
,AT+CSMP,设置文本模式参数,,AT+CSDH–显示文本模式参数; 设置是否在文本模式下的结果码中显示详细的头信息。该指令在短信文本模式下有效，需发送AT+CMGF=1设置成文本模式。,参数
,AT+CSDH,显示文本模式参数,,,参数
